#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD004764	HCT116_cyt_con_1a	public_data/PXD004764/mgf/HCT116_cyt_con_1a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_1a	Continuous cell line colon carcinoma HCT116	Homo sapiens	1	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_1a/reports/HCT116_cyt_con_1a_sample_1_Default_Hierarchical_Report.txt
PXD004764	HCT116_cyt_con_1b	public_data/PXD004764/mgf/HCT116_cyt_con_1b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_1b	Continuous cell line colon carcinoma HCT116	Homo sapiens	1	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_1b/reports/HCT116_cyt_con_1b_sample_1_Default_Hierarchical_Report.txt
PXD004764	HCT116_cyt_con_2a	public_data/PXD004764/mgf/HCT116_cyt_con_2a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_2a	Continuous cell line colon carcinoma HCT116	Homo sapiens	2	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_2a/reports/HCT116_cyt_con_2a_sample_1_Default_Hierarchical_Report.txt
PXD004764	HCT116_cyt_con_2b	public_data/PXD004764/mgf/HCT116_cyt_con_2b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_2b	Continuous cell line colon carcinoma HCT116	Homo sapiens	2	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_2b/reports/HCT116_cyt_con_2b_sample_1_Default_Hierarchical_Report.txt
PXD004764	HCT116_cyt_con_3a	public_data/PXD004764/mgf/HCT116_cyt_con_3a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_3a	Continuous cell line colon carcinoma HCT116	Homo sapiens	3	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_3a/reports/HCT116_cyt_con_3a_sample_1_Default_Hierarchical_Report.txt
PXD004764	HCT116_cyt_con_3b	public_data/PXD004764/mgf/HCT116_cyt_con_3b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004764	28071820	HCT116_cyt_con_3b	Continuous cell line colon carcinoma HCT116	Homo sapiens	3	cytoplasmic proteins of untreated HCT 116 epithelial cells	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004764/HCT116_cyt_con_3b/reports/HCT116_cyt_con_3b_sample_1_Default_Hierarchical_Report.txt
