#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD004626	control_serum_1a	public_data/PXD004626/mgf/control_serum_1a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_1a	Biological fluid serum	Homo sapiens	1	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_1a/reports/control_serum_1a_sample_1_Default_Hierarchical_Report.txt
PXD004626	control_serum_1b	public_data/PXD004626/mgf/control_serum_1b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_1b	Biological fluid serum	Homo sapiens	1	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_1b/reports/control_serum_1b_sample_1_Default_Hierarchical_Report.txt
PXD004626	control_serum_2a	public_data/PXD004626/mgf/control_serum_2a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_2a	Biological fluid serum	Homo sapiens	2	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_2a/reports/control_serum_2a_sample_1_Default_Hierarchical_Report.txt
PXD004626	control_serum_2b	public_data/PXD004626/mgf/control_serum_2b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_2b	Biological fluid serum	Homo sapiens	2	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_2b/reports/control_serum_2b_sample_1_Default_Hierarchical_Report.txt
PXD004626	control_serum_3a	public_data/PXD004626/mgf/control_serum_3a.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_3a	Biological fluid serum	Homo sapiens	3	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_3a/reports/control_serum_3a_sample_1_Default_Hierarchical_Report.txt
PXD004626	control_serum_3b	public_data/PXD004626/mgf/control_serum_3b.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004626	27879288	control_serum_3b	Biological fluid serum	Homo sapiens	3	proteins from serum samples of healthy donors	3	5	analysis/mass_spec/reanalysis_r1.6/PXD004626/control_serum_3b/reports/control_serum_3b_sample_1_Default_Hierarchical_Report.txt
