#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD015735	FL20171222_10_SRF4	public_data/PXD015735/mgf/FL20171222_10_SRF4.mgf	Trypsin	Carbamidomethylation of C, TMT 6-plex of peptide N-term, TMT 6-plex of K	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD015735	31887207	TMT10_F4	Biological fluid Folicular fluid	Bos taurus	1	Proteome of folicular fluid of 10 cows (see TMT_Key.txt) from 2 groups, across 5 fraction (F)	1	4	analysis/mass_spec/reanalysis_r1.4/PXD015735/FL20171222_10_SRF4/reports/FL20171222_10_SRF4_sample_1_Default_Hierarchical_Report.txt
PXD015735	FL20171222_12_SRF5	public_data/PXD015735/mgf/FL20171222_12_SRF5.mgf	Trypsin	Carbamidomethylation of C, TMT 6-plex of peptide N-term, TMT 6-plex of K	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD015735	31887207	TMT10_F5	Biological fluid Folicular fluid	Bos taurus	1	Proteome of folicular fluid of 10 cows (see TMT_Key.txt) from 2 groups, across 5 fraction (F)	1	4	analysis/mass_spec/reanalysis_r1.4/PXD015735/FL20171222_12_SRF5/reports/FL20171222_12_SRF5_sample_1_Default_Hierarchical_Report.txt
PXD015735	FL20171222_6_SRF1	public_data/PXD015735/mgf/FL20171222_6_SRF1.mgf	Trypsin	Carbamidomethylation of C, TMT 6-plex of peptide N-term, TMT 6-plex of K	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD015735	31887207	TMT10_F1	Biological fluid Folicular fluid	Bos taurus	1	Proteome of folicular fluid of 10 cows (see TMT_Key.txt) from 2 groups, across 5 fraction (F)	1	4	analysis/mass_spec/reanalysis_r1.4/PXD015735/FL20171222_6_SRF1/reports/FL20171222_6_SRF1_sample_1_Default_Hierarchical_Report.txt
PXD015735	FL20171222_7_SRF2	public_data/PXD015735/mgf/FL20171222_7_SRF2.mgf	Trypsin	Carbamidomethylation of C, TMT 6-plex of peptide N-term, TMT 6-plex of K	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD015735	31887207	TMT10_F2	Biological fluid Folicular fluid	Bos taurus	1	Proteome of folicular fluid of 10 cows (see TMT_Key.txt) from 2 groups, across 5 fraction (F)	1	4	analysis/mass_spec/reanalysis_r1.4/PXD015735/FL20171222_7_SRF2/reports/FL20171222_7_SRF2_sample_1_Default_Hierarchical_Report.txt
PXD015735	FL20171222_9_SRF3	public_data/PXD015735/mgf/FL20171222_9_SRF3.mgf	Trypsin	Carbamidomethylation of C, TMT 6-plex of peptide N-term, TMT 6-plex of K	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD015735	31887207	TMT10_F3	Biological fluid Folicular fluid	Bos taurus	1	Proteome of folicular fluid of 10 cows (see TMT_Key.txt) from 2 groups, across 5 fraction (F)	1	4	analysis/mass_spec/reanalysis_r1.4/PXD015735/FL20171222_9_SRF3/reports/FL20171222_9_SRF3_sample_1_Default_Hierarchical_Report.txt
