#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD016098	20181207_cow_muscle_TMT1	public_data/PXD016098/mgf/20181207_cow_muscle_TMT1.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	muscle_REP1	Tissue Muscle	Bos taurus	1	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181207_cow_muscle_TMT1/reports/20181207_cow_muscle_TMT1_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181207_cow_muscle_TMT2	public_data/PXD016098/mgf/20181207_cow_muscle_TMT2.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	muscle_REP2	Tissue Muscle	Bos taurus	2	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181207_cow_muscle_TMT2/reports/20181207_cow_muscle_TMT2_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181207_cow_muscle_TMT3	public_data/PXD016098/mgf/20181207_cow_muscle_TMT3.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	muscle_REP3	Tissue Muscle	Bos taurus	3	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181207_cow_muscle_TMT3/reports/20181207_cow_muscle_TMT3_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181207_cow_muscle_TMT4	public_data/PXD016098/mgf/20181207_cow_muscle_TMT4.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	muscle_REP4	Tissue Muscle	Bos taurus	4	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181207_cow_muscle_TMT4/reports/20181207_cow_muscle_TMT4_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181212_cow_plasma_TMT1	public_data/PXD016098/mgf/20181212_cow_plasma_TMT1.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	plasma_REP1	Biological fluid Plasma	Bos taurus	1	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181212_cow_plasma_TMT1/reports/20181212_cow_plasma_TMT1_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181212_cow_plasma_TMT2	public_data/PXD016098/mgf/20181212_cow_plasma_TMT2.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	plasma_REP2	Biological fluid Plasma	Bos taurus	2	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181212_cow_plasma_TMT2/reports/20181212_cow_plasma_TMT2_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181212_cow_plasma_TMT3	public_data/PXD016098/mgf/20181212_cow_plasma_TMT3.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	plasma_REP3	Biological fluid Plasma	Bos taurus	3	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181212_cow_plasma_TMT3/reports/20181212_cow_plasma_TMT3_sample_1_Default_Hierarchical_Report.txt
PXD016098	20181212_cow_plasma_TMT4	public_data/PXD016098/mgf/20181212_cow_plasma_TMT4.mgf	Trypsin	TMT 6-plex of K, TMT 6-plex of peptide N-term, Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD016098	32028040	plasma_REP4	Biological fluid Plasma	Bos taurus	4	Proteome of muscle (Muscle) or plasma (Plasma) of cows in quadruplicate (REP), for different groups (see TMT_Key.txt)	3	4	analysis/mass_spec/reanalysis_r1.4/PXD016098/20181212_cow_plasma_TMT4/reports/20181212_cow_plasma_TMT4_sample_1_Default_Hierarchical_Report.txt
